"","country","gdp_fuel","gdp_products"
"1","austria",-0.890836661621795,0.179069121880752
"2","belgium",-0.849839388476361,-0.0506106843587485
"3","bulgaria",-0.800288793369368,-0.487374207249169
"4","croatia",-0.752706998904379,-0.123170254733678
"5","cyprus",0.435820335342235,0.612944855378245
"6","czech.republic",-0.885556908589944,0.741324716619308
"7","denmark",-0.756359134940292,-0.876891397108412
"8","estonia",-0.84034015302209,0.00729703299713661
"9","european.union",-0.908951618321539,-0.691634263773037
"10","finland",-0.83612649201315,0.0450309270849885
"11","france",-0.425050918405699,-0.385864185728858
"12","germany",-0.6807145948913,-0.898897854635984
"13","greece",-0.321639001637681,0.170642580865882
"14","hungary",-0.935251258895939,0.120901364173523
"15","iceland",-0.518679886166431,0.282499792432571
"16","ireland",-0.871909250259514,0.133312405964845
"17","italy",-0.892362717656155,-0.757917113894365
"18","latvia",-0.807263794181014,NA
"19","liechtenstein",-0.473659560932525,-0.363629291492995
"20","lithuania",-0.175374238794572,0.767842315633635
"21","luxembourg",-0.646903115162973,-0.0910844301960039
"22","malta",NA,0.390637766027128
"23","netherlands",-0.927032814415686,0.837709055220693
"24","norway",-0.917971869104911,0.831374285919586
"25","poland",-0.921204070456348,-0.76694328468108
"26","portugal",-0.599629711781434,-0.70382999392907
"27","romania",-0.842796809496286,0.205120353579061
"28","slovak.republic",-0.912863601985224,0.30214748777069
"29","slovenia",-0.798469198951852,-0.112702341570833
"30","spain",-0.605376332550182,-0.826207203999994
"31","sweden",-0.816062830444594,-0.536531056002927
"32","year",1,1
